name,description,implementation_status,effect_level,version,rank
Dt,Total differential (one-arg) or total derivative treating all variables as potentially dependent; higher-order via {x n} and repeated variables,✅,pure,1.0,476
True,Boolean constant representing logical truth,✅,pure,1.0,27
False,Boolean constant representing logical falsehood,✅,pure,1.0,38
Map,Applies a function to each element of a list or to each argument of any other head,✅,pure,1.0,28
Automatic,Symbol used as a default setting for automatically determined options,✅,pure,1.0,29
Subscript,Represents a subscripted expression for display,✅,pure,1.0,30
Table,Generates a list by evaluating an expression,✅,pure,1.0,32
Directive,Combines graphics directives,✅,pure,6.0,33
If,Checks if a condition is true and returns one of two values,✅,pure,1.0,34
RuleDelayed,Represents a delayed transformation rule lhs :> rhs where rhs is held unevaluated,✅,pure,1.0,35
Opacity,Specifies opacity for graphics,✅,pure,6.0,37
PlotRange,Option specifying the range of values to include in a plot,✅,pure,1.0,39
Less,Checks if one value is less than another,✅,pure,1.0,41
LessEqual,Checks if one value is less than or equal to another,✅,pure,1.0,57
Greater,Checks if one value is greater than another,✅,pure,1.0,48
GreaterEqual,Checks if one value is greater than or equal to another,✅,pure,1.0,110
FinancialData,,🚫,,6.0,43
Length,Returns the number of elements in a list,✅,pure,1.0,44
PlotStyle,Option specifying the style of lines and points in a plot,✅,pure,1.0,45
GrayLevel,Specifies a gray color level,✅,pure,1.0,46
Black,Named color evaluating to GrayLevel[0],✅,pure,5.1,113
White,Named color evaluating to GrayLevel[1],✅,pure,5.1,163
Gray,Named color evaluating to GrayLevel[0.5],✅,pure,5.1,281
LightGray,Named color evaluating to GrayLevel[0.85],✅,pure,6.0,633
Quantity,Represents a physical quantity with a unit (a compound unit prints as a quotient when it has negative exponents); ToString spells the unit out and TextString abbreviates it,✅,pure,9.0,47
N,Gives the numerical value of an expression,✅,pure,1.0,49
And,Checks if all conditions are true,✅,pure,1.0,50
Or,Checks if at least one condition is true,✅,pure,1.0,136
Not,Logical negation of an expression — written with the ! operator and bracketed inside anything that binds tighter than it,✅,pure,1.0,139
Xor,Logical XOR (true when an odd number of args are true),✅,pure,1.0,1197
Implies,Logical implication,✅,pure,1.0,868
LogicalExpand,Expand logical expression to disjunctive normal form,✅,pure,1.0,1501
Dot,Computes the dot product or matrix multiplication,✅,pure,1.0,51
MatrixForm,Displays a matrix or list in a two-dimensional grid format,✅,pure,1.0,53
Print,Outputs a string to the console,✅,effectful,1.0,55
Line,Represents a line graphics primitive,✅,pure,1.0,59
Apply,Applies a function to the elements of an expression by replacing its head (a compound head like g[x] counts as the head),✅,pure,1.0,60
Style,Applies styling to an expression for display,✅,pure,6.0,61
Solve,Solves an equation or system of equations (unknowns may be applied functions like y[x] treated as generalized variables; x^n == c is solved in radicals times the n-th roots of unity; Modulus solves over the integers mod n and MaxRoots caps the solution count),✅,pure,1.0,62
Reduce,Reduces equations and inequalities to canonical disjunctive form; over the Integers domain a bounded two-sided interval is enumerated as a disjunction of the contained integers (filtered by extra constraints such as Mod[x n]==k or x!=v) and a one-sided bound is tightened to the nearest integer with an Element membership conjunct; a single underdetermined linear equation over Integers is parametrized with fresh C[k] integer parameters via the extended Euclidean algorithm; vector equalities (list == list) are threaded into their componentwise scalar equations before solving,✅,pure,1.0,213
Eliminate,Eliminates variables from a system of equations,✅,pure,1.0,891
Out,Gives the expression on the nth output line in an interactive session,✅,contextual,1.0,63
In,Returns a previous input expression,✅,contextual,1.0,248
Abs,Returns the absolute value of a complex number,✅,pure,1.0,64
Re,Returns the real part of a complex number,✅,pure,1.0,129
Im,Returns the imaginary part of a complex number,✅,pure,1.0,143
Arg,Returns the argument (phase angle) of a complex number,✅,pure,1.0,135
Conjugate,Returns the complex conjugate of a complex number,✅,pure,1.0,293
Red,Named color evaluating to RGBColor[1 0 0],✅,pure,5.1,65
Blue,Named color evaluating to RGBColor[0 0 1],✅,pure,5.1,90
Green,Named color evaluating to RGBColor[0 1 0],✅,pure,5.1,119
Orange,Named color evaluating to RGBColor[1 0.5 0],✅,pure,5.1,234
Yellow,Named color evaluating to RGBColor[1 1 0],✅,pure,5.1,240
Pink,Named color evaluating to RGBColor[1 0.5 0.5],✅,pure,5.1,306
Purple,Named color evaluating to RGBColor[0.5 0 0.5],✅,pure,5.1,314
Magenta,Named color evaluating to RGBColor[1 0 1],✅,pure,5.1,432
Brown,Named color evaluating to RGBColor[0.6 0.4 0.2],✅,pure,5.1,497
Cyan,Named color evaluating to RGBColor[0 1 1],✅,pure,5.1,507
LightBlue,Named color evaluating to RGBColor[0.87 0.94 1],✅,pure,6.0,581
LightRed,Named color evaluating to RGBColor[1 0.85 0.85],✅,pure,6.0,973
LightGreen,Named color evaluating to RGBColor[0.88 1 0.88],✅,pure,6.0,1140
LightYellow,Named color evaluating to RGBColor[1 1 0.85],✅,pure,6.0,1188
LightOrange,Named color evaluating to RGBColor[1 0.9 0.8],✅,pure,6.0,1551
LightPurple,Named color evaluating to RGBColor[0.94 0.88 0.94],✅,pure,6.0,1838
LightPink,Named color evaluating to RGBColor[1 0.85 0.85],✅,pure,6.0,1944
LightBrown,Named color evaluating to RGBColor[0.94 0.91 0.88],✅,pure,6.0,2205
LightCyan,Named color evaluating to RGBColor[0.9 1 1],✅,pure,6.0,2871
LightMagenta,Named color evaluating to RGBColor[1 0.9 1],✅,pure,6.0,3176
Condition,Represents a pattern with a condition test (pattern /; test),✅,pure,1.0,66
Range,Generates a sequence of numbers,✅,pure,1.0,67
Simplify,Performs algebraic simplification of expressions,✅,pure,1.0,68
Expand,Expands products and positive integer powers of sums,✅,pure,1.0,154
ExpandAll,Expands all products and powers in an expression,✅,pure,1.0,700
Factor,Factors a polynomial over the integers,✅,pure,1.0,307
FactorTerms,Pulls out the greatest common numerical factor from terms,✅,pure,1.0,1817
Collect,Collects terms with the same powers of a variable,✅,pure,1.0,339
Together,Puts terms over a common denominator,✅,pure,1.0,455
Apart,Decomposes a rational expression into partial fractions,✅,pure,1.0,683
Cancel,Cancels common factors in a rational expression,✅,pure,1.0,1229
CityData,,🚫,,6.0,69
ImageSize,Option specifying the display size of graphics and other objects,✅,none,3.0,70
AxesLabel,Option specifying labels for the axes of a plot,✅,pure,1.0,71
Graphics,Creates a 2D graphics object,✅,pure,1.0,72
Transpose,Transposes a matrix (list of lists),✅,pure,1.0,73
Module,Scopes local variables with unique names,✅,pure,2.0,74
Show,Combines multiple graphics objects into a single display,✅,pure,1.0,75
Entity,Symbolic representation of a real-world entity,✅,pure,10.0,76
Sum,Computes a sum over one or more ranges — accepts trailing options and gives a divergent sum a value under Regularization -> Dirichlet or Abel,✅,pure,1.0,77
Product,Computes the product of an expression over one or more ranges — accepts trailing options,✅,pure,1.0,376
HoldComplete,Holds arguments completely unevaluated,✅,pure,3.0,78
HoldCompleteForm,Holds an expression completely unevaluated for display,✅,pure,3.0,
Word,Symbol representing a word in string patterns,✅,none,2.0,79
First,Returns the first element of a list or the given default which is only evaluated when used,✅,pure,1.0,80
Last,Returns the last element of a list or the given default which is only evaluated when used,✅,pure,1.0,140
Take,Returns the first n elements of a list (the one-argument form takes nothing and returns the expression),✅,pure,1.0,231
Rest,Returns the list without its first element,✅,pure,1.0,289
Drop,Returns the list without its first n elements (the one-argument form drops nothing and returns the expression),✅,pure,1.0,318
Clear,Clears values and definitions of symbols but preserves attributes,✅,stateful,1.0,82
ClearAll,Clears all values and definitions for symbols,✅,stateful,1.0,133
Flatten,Flattens nested lists,✅,pure,1.0,83
Element,Test or assert membership of an expression in a mathematical domain,✅,pure,4.0,84
Thickness,Sets relative line thickness in graphics,✅,pure,1.0,85
Evaluate,Forces evaluation of an expression,✅,pure,2.0,86
Row,Displays elements in a row,✅,pure,6.0,87
DSolve,Solves ordinary differential equations symbolically (an equation with no derivative reduces to Solve for the dependent function),✅,pure,2.0,88
C,Default generated parameter C[n] of DSolve RSolve Reduce and Solve,✅,pure,2.0,
Disk,Represents a filled disk or sector graphics primitive,✅,pure,2.0,89
PatternTest,Tests whether a pattern matches using a predicate function (pattern?test),✅,pure,1.0,91
WordData,,🚫,,6.0,92
ListPlot,Plots data as a scatter plot,✅,pure,1.0,93
Point,Represents a point graphics primitive,✅,pure,1.0,94
Manipulate,Generates a version of an expression with controls added to interactively manipulate variable values,✅,pure,6.0,95
FontSize,Option specifying the default font size in printer's points,✅,none,3.0,96
Frame,Option specifying whether a frame is drawn around a plot,✅,none,2.0,97
With,Substitutes local constants into an expression,✅,pure,2.0,99
PlotLegends,Option for adding legends to plots identifying each series,✅,pure,9.0,100
BlankNullSequence,Pattern object matching zero or more expressions (___),✅,pure,1.0,101
Reals,The domain of real numbers used with Element and related functions,✅,none,4.0,102
FontFamily,Option specifying the font family for text rendering,✅,none,3.0,103
PlotLabel,Option specifying a label for a plot,✅,pure,1.0,104
Join,Concatenates multiple lists,✅,pure,1.0,105
Polygon,Represents a polygon graphics primitive,✅,pure,1.0,106
SameQ,Tests if expressions are identical,✅,pure,1.0,107
Background,Option specifying the background color or style,✅,none,2.0,108
Span,Extract a span of elements using ;; notation in Part,✅,pure,6.0,109
MessageName,Accesses a message associated with a symbol (sym::tag),✅,pure,1.0,111
Thick,Graphics directive equivalent to AbsoluteThickness[2],✅,none,6.0,112
FullSimplify,Performs aggressive algebraic simplification including factoring and trig identities,✅,pure,1.0,114
Plot3D,Creates a three-dimensional surface plot of a function,✅,pure,1.0,115
Axes,Option specifying whether axes should be drawn in a plot,✅,pure,1.0,116
Rectangle,Represents a rectangle graphics primitive,✅,pure,1.0,117
ParametricPlot,Creates a parametric plot,✅,pure,1.0,118
EdgeForm,Specifies edge styling for filled graphics,✅,pure,1.0,120
Floor,Returns the largest integer less than or equal to a number,✅,pure,1.0,121
Ceiling,Returns the smallest integer greater than or equal to a number,✅,pure,1.0,395
Round,Returns the nearest integer to a number,✅,pure,1.0,279
Text,Represents a text graphics primitive,✅,pure,1.0,122
PointSize,Specifies point size in graphics,✅,pure,1.0,123
AxesStyle,Option specifying the style of plot axes,✅,none,2.0,124
AspectRatio,Option specifying the height-to-width ratio for a plot,✅,pure,1.0,125
BlankSequence,Pattern object matching one or more expressions (__),✅,pure,1.0,126
StringJoin,Concatenates strings,✅,pure,1.0,127
Factorial,Returns the factorial n! = Gamma[n+1] for integers and non-integers,✅,pure,1.0,128
Gamma,Returns the gamma function value; FunctionExpand writes the incomplete Gamma[a z] out for integer and half-integer a,✅,pure,1.0,130
Integer,Head type for integer numbers,✅,pure,1.0,131
Rational,Head type for rational numbers,✅,pure,1.0,206
Real,Head type for real (floating-point) numbers,✅,pure,1.0,263
Complex,Head type for complex numbers,✅,pure,1.0,541
String,Head type for string values,✅,pure,1.0,182
Number,Head type for numbers,✅,pure,1.0,731
RandomReal,Generates a pseudorandom real number,✅,contextual,6.0,132
Mod,Returns the remainder on division (m - n Floor[m/n]; Gaussian integers use m - n Round[m/n]; an infinite divisor takes nothing away),✅,pure,1.0,134
BaseStyle,Option specifying the base style for elements in a graphic or other output,✅,none,6.0,137
Dynamic,Dynamic display wrapper (shows the current value in visual mode; stays symbolic in script mode),✅,unevaluated,6.0,138
AdministrativeDivisionData,,🚫,,10.0,141
Increment,Increments a variable by 1 and returns the old value,✅,stateful,1.0,142
Max,Returns the maximum value from a set of arguments or a list,✅,pure,1.0,144
Min,Returns the minimum value from a set of arguments or a list,✅,pure,1.0,180
Hue,Specifies a color by hue saturation and brightness,✅,pure,2.0,145
For,Executes a loop with initialization and increment,✅,pure,1.0,146
Do,Evaluates an expression repeatedly,✅,pure,1.0,147
ToString,Converts an expression to a string,✅,pure,1.0,148
Select,Picks elements of a list that satisfy a criterion,✅,pure,1.0,149
Total,Sums the elements of a list down to a level spec — AllowedHeads -> All descends through any non-atomic head not just List,✅,pure,5.0,151
ColorFunction,Option specifying the color function for visualization,✅,none,2.0,152
ContourPlot,Creates a contour plot of a function,✅,pure,1.0,155
RandomInteger,Generate random integers — RandomInteger[n] draws from 0 through n so a negative n draws downwards,✅,contextual,6.0,156
NDSolve,Solves ordinary differential equations numerically (including coupled systems compound unknowns and EventLocator events) and 1-D parabolic PDEs (single or coupled reaction-diffusion-convection systems with Dirichlet or Neumann boundaries) via the method of lines,✅,contextual,2.0,157
Integers,Domain symbol representing the set of integers,✅,pure,4.0,158
Large,Named size symbol used as option value for ImageSize and Style,✅,pure,6.0,159
Limit,Computes the limit of an expression,✅,pure,1.0,160
CountryData,Returns properties (e.g. Population) for countries from a bundled static dataset,✅,pure,6.0,161
Sequence,Represents a sequence of arguments that are automatically spliced into any function,✅,pure,3.0,162
Optional,Represents a pattern with an optional default value — present arguments fill the slots from the left,✅,pure,1.0,164
Mesh,Option for mesh lines in plots,✅,pure,1.0,165
AxesOrigin,Option specifying the origin point for plot axes,✅,none,2.0,166
Grid,Displays data in a grid layout; ToString renders the matrix as an aligned text grid (left-aligned columns padded to the widest cell with three-space separators and a blank line between rows) like TableForm,✅,pure,6.0,167
Cases,Returns elements matching a pattern,✅,pure,1.0,168
ListLinePlot,Plots data as a line graph,✅,pure,6.0,169
Graphics3D,Creates a 3D graphics object,✅,pure,1.0,170
NumericQ,Tests if expression has a numeric value,✅,pure,3.0,172
FrameStyle,Option specifying the style of the frame around a plot,✅,none,2.0,173
Column,Displays elements in a vertical column,✅,pure,6.0,174
ColumnForm,Legacy display directive stacking elements one per line (renders at top level and under every form),✅,pure,1.0,174
FontColor,Option symbol for specifying text color in Style,✅,pure,3.0,175
NIntegrate,Computes a numerical integral by tanh-sinh quadrature — which handles an endpoint singularity — falling back to an adaptive Simpson rule for oscillatory integrands and using a tangent substitution for infinite bounds,✅,pure,1.0,176
Dashed,Shorthand for Dashing[{Small Small}] line style,✅,pure,6.0,177
Import,"Imports data from a file (images CSV XLSX TXT PPM/PGM/PBM/PNM WAV and other audio; CERN ROOT incl. TH1/TH2 histograms and TTree branch data via element paths; CSV/TSV row/column subsets via {""Data"" rowspec colspec} position specs); an .xml file reads into symbolic XML",✅,effectful,4.0,178
Thread,Threads a function over corresponding list elements,✅,pure,1.0,179
Arrow,Represents an arrow graphics primitive,✅,pure,6.0,181
Scaled,Represents a scaled position or size,✅,pure,1.0,183
Arrowheads,Specifies arrowhead sizes and styles,✅,pure,6.0,184
Association,Key-value data structure with <| |> syntax,✅,pure,10.0,185
Italic,Style directive for italic text,✅,pure,6.0,186
AbsoluteThickness,Sets absolute line thickness in graphics,✅,pure,2.0,187
Block,Scopes local variables within a block of code,✅,pure,1.0,188
Alignment,Option symbol for specifying alignment in layouts,✅,pure,6.0,189
Partition,Partitions a list into sublists of a given length (with offset padding alignment and an optional block head),✅,pure,1.0,190
Norm,Returns the norm of a vector or matrix,✅,pure,5.0,191
BSplineCurve,B-spline curve through control points in Graphics and Graphics3D,✅,pure,7.0,192
PlotPoints,Option for number of sample points in plots,✅,pure,1.0,193
Sort,Sorts a list in ascending order or by an ordering function which leaves a pair alone unless it compares False,✅,pure,1.0,194
Series,Computes a power series expansion about a point or at Infinity,✅,pure,1.0,195
Return,Returns a value from a definition body Do or Scan — anywhere else it stands as Return[value] and is collected like any other,✅,pure,1.0,196
Appearance,Option symbol for specifying visual appearance,✅,pure,6.0,197
Needs,Loads the file providing a context from a loaded paclet directory or from $Path; a rule right-hand side aliases the context in $ContextAliases or (None) records nothing,✅,effectful,1.0,198
Center,Symbol for centering alignment,✅,pure,1.0,199
UndirectedEdge,Undirected graph edge,✅,pure,8.0,201
Filling,Option for filling areas under curves in plots,✅,pure,6.0,202
MatchQ,Tests if an expression matches a pattern,✅,pure,1.0,203
Reverse,Returns a list with elements in reverse order,✅,pure,1.0,204
UnsameQ,Tests if expressions are not identical,✅,pure,2.0,205
Bold,Style directive for bold text,✅,pure,6.0,207
Normal,Converts a special form to a normal expression optionally restricted to objects of a given head,✅,pure,1.0,208
Hyperlink,Represents a clickable hyperlink to a URI with an optional display label,✅,pure,6.0,209
ParametricPlot3D,3D parametric plot,✅,none,2.0,210
GridLines,Option specifying grid lines in a plot,✅,none,2.0,211
Method,Option symbol for specifying computational methods,✅,pure,4.0,212
Inverse,Computes the inverse of a matrix,✅,pure,1.0,214
SplineClosed,Option for closing B-spline curves,✅,pure,7.0,215
SlotSequence,Represents a sequence of arguments in a pure function,✅,pure,1.0,216
Append,Adds an element to the end of a list,✅,pure,1.0,217
Position,Finds all positions of a pattern in a list,✅,pure,1.0,218
Union,Returns sorted union of lists or a key-merge of associations,✅,pure,1.0,219
While,Evaluates an expression repeatedly while a condition is true,✅,pure,1.0,220
FrameLabel,Axis labels for framed charts (alias for AxesLabel),✅,pure,2.0,221
FindRoot,Numerically finds a root of an equation using a damped Newton iteration — the derivative is symbolic where that reduces to a number and a difference quotient otherwise; honours MaxIterations and reports non-convergence or a singular derivative (WorkingPrecision and the accuracy goals are accepted but ignored),✅,pure,1.0,222
Image,Constructs an image from pixel data,✅,pure,7.0,223
ColorData,"Named color data: the categories; the CSS colours of the ""HTML"" scheme and the pre-v6 Graphics`Colors` palette under the ""Legacy"" scheme; the colors of indexed schemes 1 (generated) 2 3 30 35 and 97; named gradients give a ColorDataFunction sampling the scheme (e.g. ColorData[""TemperatureMap""][0.5]), sample directly via ColorData[name, t], read the ""ColorFunction"" and ""Range"" properties, and render ""Image"" swatches (Rainbow-family control points sampled from Wolfram; the remaining gradients are approximations)",✅,pure,6.0,224
Binomial,Returns the binomial coefficient,✅,pure,1.0,225
Which,Evaluates conditions and returns the value for the first true one,✅,pure,1.0,226
Replace,Applies transformation rules to an expression,✅,pure,1.0,227
Mean,Calculates the arithmetic mean (average) of a list,✅,pure,5.0,228
Head,Returns the head of an expression,✅,pure,1.0,229
AppendTo,Appends an element to a list stored in a variable; a target without a value reports ::rvalue,✅,stateful,1.0,230
Options,Returns the options associated with a symbol — the built-in defaults of the core symbolic and numeric functions or a list set with Options[f] = … or SetOptions,✅,pure,1.0,232
Array,Generates a list by applying a function to successive indices,✅,pure,1.0,233
RightArrow,Typesetting arrow symbol,🚫,none,3.0,235
Interval,Represents a closed real interval with auto-merged sub-intervals,✅,pure,3.0,236
Offset,Represents a position offset by a specified number of printers points,✅,pure,3.0,237
ReplaceRepeated,Applies replacement rules repeatedly until fixed point or the MaxIterations bound,✅,pure,1.0,238
Piecewise,Represents a piecewise function; the pieces are held so the value of a piece whose condition is False is never evaluated,✅,pure,5.1,239
Left,Symbol for left alignment,✅,pure,1.0,241
ConstantArray,Creates an array of repeated elements,✅,pure,6.0,242
Epilog,Option specifying graphics primitives drawn after the main plot,✅,none,2.0,243
MemberQ,Checks if a list contains a value,✅,pure,1.0,244
NormalDistribution,Represents a normal (Gaussian) probability distribution,✅,pure,6.0,245
AirportData,,🚫,,10.0,246
GridLinesStyle,Option for specifying the style of grid lines in graphics,✅,none,6.0,247
Det,Computes the determinant of a matrix,✅,pure,1.0,251
NSolve,Solves equations numerically — a bare polynomial means poly == 0 and every root path ends in the same polish step as NRoots so conjugate pairs agree bit for bit,✅,pure,2.0,252
Cross,Computes the generalized cross product of n-1 vectors of length n,✅,pure,3.0,253
PDF,Probability density function,✅,pure,6.0,254
TableForm,Formats data as a table,✅,pure,1.0,255
Circle,Represents a circle graphics primitive,✅,pure,2.0,256
AbsoluteTiming,Returns the time taken to evaluate an expression,✅,contextual,5.0,257
Blend,Blend colors together using linear interpolation; also samples named ColorData gradient schemes,✅,none,6.0,258
Tooltip,Tooltip display wrapper (stays symbolic in script mode),✅,unevaluated,6.0,260
Spacings,Spacing specification for grids and layouts,✅,none,6.0,261
Assumptions,Specify assumptions for symbolic computation,✅,none,3.0,262
Ticks,Option for tick marks on plot axes,✅,pure,1.0,264
MapThread,Applies a function to corresponding elements of multiple lists,✅,pure,2.0,265
Smaller,Font size directive for making text smaller,✅,none,6.0,266
Symbol,Creates a symbol from a string resolving the name against the open contexts,✅,pure,1.0,267
OptionValue,Retrieves the value of a named option — from the enclosing OptionsPattern or from a head's Options list with an explicit rule list taking precedence — for one name or a list of them,✅,pure,6.0,268
LabelStyle,Option for specifying the style of labels in graphics,✅,none,6.0,269
Boxed,Option for boxed axes in 3D plots,✅,pure,1.0,270
Inset,Places an inset in graphics,✅,pure,6.0,271
DeleteCases,Deletes elements matching a pattern,✅,pure,2.0,272
UnitStep,Returns the unit step function value,✅,pure,4.0,273
Pochhammer,Returns the Pochhammer symbol (rising factorial),✅,pure,1.0,274
Eigenvalues,Computes the eigenvalues of a matrix; the two-arg form takes the k largest-magnitude eigenvalues,✅,pure,1.0,275
Timing,Returns the CPU time taken to evaluate an expression,✅,contextual,1.0,276
RowBox,Represents a horizontal row of boxes for typesetting,✅,pure,3.0,277
Button,Interactive button element (stays symbolic in script mode),✅,unevaluated,6.0,280
Sphere,Sphere graphics primitive; a circle in two dimensions; a list of centres draws one sphere of the given radius per centre,✅,none,6.0,282
Get,Reads and evaluates a file returning the last result,✅,effectful,1.0,283
Quiet,Evaluate expression suppressing messages,✅,contextual,6.0,284
Joined,Option for joining points in list plots,✅,none,6.0,285
FreeQ,Tests if expression is free of a specified form,✅,pure,1.0,286
Medium,Medium size specification,✅,none,6.0,287
Dimensions,Dimensions of a nested list optionally capped at n levels or Infinity,✅,pure,1.0,288
NonCommutativeMultiply,Non-commutative multiplication operator,✅,pure,1.0,290
Axis,Filling reference for plots,✅,none,3.0,291
Superscript,Inert superscript display form,✅,pure,1.0,292
Full,Full-size image specification,✅,none,6.0,294
IdentityMatrix,Creates an identity matrix of given size,✅,pure,1.0,295
IntegerDigits,Returns list of digits of an integer,✅,pure,2.0,296
StringExpression,Represents a string pattern formed by concatenating string pattern objects,✅,pure,5.1,298
Repeated,Pattern that matches one or more repetitions,✅,pure,1.0,299
ChemicalData,,🚫,,6.0,300
RandomVariate,Generates pseudorandom variates from a distribution as a scalar list or array of given dimensions,✅,contextual,8.0,301
Cylinder,3D cylinder graphics primitive,✅,none,6.0,302
Graph,Yields a graph with vertices and edges rendered as SVG,✅,effectful,8.0,303
Tiny,Tiny size specification,✅,none,6.0,304
OptionsPattern,Pattern object that matches any sequence of options in function definitions,✅,pure,6.0,305
Prime,Returns the nth prime number,✅,pure,1.0,308
ComplexExpand,Expands expressions assuming variables are real,✅,pure,2.0,309
Inherited,Symbol indicating a setting should be inherited from a higher level,✅,pure,6.0,310
HoldForm,Holds an expression unevaluated for display,✅,pure,1.0,311
Darker,Makes a color darker,✅,pure,6.0,312
Sign,Returns the sign of a number,✅,pure,1.0,313
Rotate,Rotates a graphics object,✅,pure,6.0,315
TraditionalForm,Displays expressions in traditional mathematical notation,✅,pure,3.0,317
IntegerQ,Tests if the expression evaluates to an integer,✅,pure,1.0,319
Information,Displays information about a symbol; a second argument selects one property,✅,pure,1.0,320
ToExpression,Converts a string to an evaluated expression; definitions in the string take effect,✅,pure,1.0,321
Identity,Returns its argument unchanged,✅,pure,1.0,322
TestID,Option symbol for specifying a test identifier in testing functions,✅,pure,10.0,323
Cell,Represents a cell in a notebook with content and style information,✅,pure,3.0,325
Hold,Holds its arguments unevaluated,✅,pure,1.0,326
Chop,Replaces approximate real numbers close to zero by exact 0,✅,pure,1.0,328
BesselJ,Bessel function of the first kind J_n(z),✅,pure,1.0,329
BesselY,Bessel function of the second kind Y_n(z),✅,pure,1.0,752
BesselI,Modified Bessel function of the first kind I_n(z),✅,pure,1.0,664
BesselK,Modified Bessel function of the second kind K_n(z),✅,pure,1.0,613
MapIndexed,Applies a function to each element along with its index over a level specification; on an association the index is {Key[key]},✅,pure,2.0,330
RiemannR,Riemann prime counting function R(x) approximating PrimePi,✅,pure,7.0,331
Item,Wrapper for specifying individual item options in Grid and similar constructs,✅,pure,6.0,332
SetAttributes,Sets attributes for a symbol,✅,stateful,1.0,333
SparseArray,"Creates a sparse array representation that stays sparse under arithmetic and answers grid queries like ""NonzeroValues"" or ""Density""",✅,pure,5.0,334
NumberForm,Displays a number with specified formatting; ToString renders x to n significant figures or with {n;f} to exactly f decimal places (the single-argument form uses the 6-significant-figure default; reals with exponent >= 6 or <= -6 switch to 2D scientific notation) and supports DigitBlock/NumberSeparator digit grouping and NumberPadding field padding,✅,pure,1.0,336
FrameTicks,Option specifying tick marks on the frame of a plot,✅,none,2.0,337
RandomChoice,Random selection with replacement,✅,contextual,6.0,338
NumberQ,Checks if a value is a number,✅,pure,1.0,340
DateObject,Represents a date or date-time object keeping only the components its granularity names,✅,pure,10.0,341
EntityValue,Retrieves property values from entities in the Wolfram Knowledgebase,✅,effectful,10.0,342
Except,Represents a pattern matching everything except a given pattern,✅,pure,5.1,343
FaceForm,Specifies face styling for filled graphics,✅,pure,1.0,344
Prepend,Adds an element to the beginning of a list,✅,pure,1.0,345
